# Fila gamedevmap da segunda leva da Europa, colhida em 06/09
# Formato: nome,tipo,cidade,estado,pais,site,status
# Belgica 52, Italia 70, Portugal 26, Eslovaquia 24, Romenia 22, Austria 20, Estonia 17, Letonia 5.
# So os do tipo Developer e Developer and Publisher, ja passados pelo dedupe da campanha.
Santa Ragione,Developer,Milan,Lombardia,Italy,https://santaragione.com/,NOVO
Sedleo,Developer,Pistoia,Toscana,Italy,https://www.sedleo.com,NOVO
Stigma Studios,Developer,Valenza,Piedmont,Italy,https://www.stigmastudios.com,NOVO
Storm in a Teacup,Developer,Rome,Lazio,Italy,https://www.stcware.com,NOVO
Stormind Games,Developer,Acireale,Sicilia,Italy,https://stormindgames.com/,NOVO
Stormind Games,Developer,Milan,Lombardia,Italy,https://stormindgames.com/,NOVO
Strelka Games,Developer and Publisher,Trento,Trentino,Italy,https://www.strelkagames.com,NOVO
Studio Daimon,Developer,Milan,Lombardia,Italy,https://linktr.ee/studiodaimongames,NOVO
Studio Kiku,Developer,Genova,Liguria,Italy,https://itch.io/profile/studiokiku,NOVO
Studio Pizza,Developer,Bologna,Emilia-Romagna,Italy,https://studiopizzagames.itch.io/,NOVO
Stupidi Pixel,Developer,Milan,Lombardia,Italy,https://www.stupidipixel.com,NOVO
3DIVISION,Developer,Kosice,Kosicky kraj,Slovakia,https://3division.sovietrepublic.net/,NOVO
Atomontage,Developer,Bratislava,Bratislavsky kraj,Slovakia,https://www.atomontage.com/,NOVO
Bitmap Galaxy,Developer,Bratislava,Bratislavsky kraj,Slovakia,https://bitmapgalaxy.com/,NOVO
Blue Brain Games,Developer,Bratislava,Bratislavsky kraj,Slovakia,https://www.bluebraingames.com/,NOVO
Brozef,Developer and Publisher,Presov,Presovsky kraj,Slovakia,https://brozef.itch.io/,NOVO
Cypronia,Developer,Michalovce,Kosicky kraj,Slovakia,https://www.cypronia.com,NOVO
Doublequote Studio,Developer,Bratislava,Bratislavsky kraj,Slovakia,https://www.doublequotestudio.com,NOVO
Eastworks,Developer,Kosice,Kosicky kraj,Slovakia,https://www.eastworks.eu,NOVO
Fatbot Games,Developer,Bratislava,Bratislavsky kraj,Slovakia,https://fatbot-games.com/,NOVO
Games Farm,Developer,Kosice,Kosicky kraj,Slovakia,https://www.games-farm.com,NOVO
GRIP Studios,Developer and Publisher,Bratislava,Bratislavsky kraj,Slovakia,https://grip-studios.com/,NOVO
Lonely Troops,Developer,Halič,Banská Bystrica,Slovakia,https://www.lonelytroops.com,NOVO
Mad Cookies Studio,Developer,Bratislava,Bratislavsky kraj,Slovakia,https://madcookies.games/,NOVO
Matsuko,Developer,Kosice,Kosicky kraj,Slovakia,https://www.matsuko.com,NOVO
Nine Rock Games (Embracer Group),Developer,Bratislava,Bratislavsky kraj,Slovakia,https://www.ninerocksgames.com,NOVO
Nine Rocks Games (THQ Nordic),Developer,Bratislava,Bratislavsky kraj,Slovakia,https://ninerocksgames.com/,NOVO
Pixel Federation,Developer,Bratislava,Bratislavsky kraj,Slovakia,https://portal.pixelfederation.com,NOVO
Poetic Studio,Developer,Banská Bystrica,Banskobystricky kraj,Slovakia,https://www.sacredfiregame.com,NOVO
Powerplay Manager,Developer,Bratislava,Bratislavsky kraj,Slovakia,https://ppm.powerplaymanager.com/en/,NOVO
Rembrosoft,Developer,Kosice,Kosicky kraj,Slovakia,https://www.rembrosoft.com,NOVO
straka.studio,Developer,Nova Dubnica,Trencin,Slovakia,https://www.straka.studio,NOVO
Superstructure Games,Developer,Kosice,Kosicky kraj,Slovakia,https://www.superstructuregames.com,NOVO
Triple Hill Interactive,Developer,Kosice,Kosicky kraj,Slovakia,https://triple-hill.com/,NOVO
We Make Games,Developer,Bratislava,Bratislavsky kraj,Slovakia,https://www.wemakegames.sk,NOVO
