# FILA DO CANADA, colhida do gamedevmap em 08/09 a pedido do Vini.
# O gamedevmap tinha sido colhido so para EUROPA (347 portas) e OCEANIA. O Canada, que e o pais
# PRIORITARIO da campanha, nunca tinha sido varrido. Sao 487 estudios canadenses no gamedevmap;
# 61 a campanha ja tocou (por nome ou por dominio) e estes 426 nunca foram tocados.
# Colheita: https://www.gamedevmap.com/index.php?country=Canada&start=<1|101|201|301|401>&count=100
# ATENCAO, duas armadilhas medidas na colheita: (1) o PDF do Vini traz o link em http:// e o bridge
# desta maquina responde 'use CONNECT' em http puro, entao TEM que ser https://; (2) o parametro de
# pagina NAO e page=, e start= com count=, senao as cinco paginas devolvem as mesmas 105 linhas.
# O QUE FAZER COM ISTO: e fila do JHON, nao do prospector. O alvo e achar FORMULARIO de candidatura
# (careers, jobs, join-us, work-with-us) e o ATS por tras dele, nao email. Ordem: Vancouver, Montreal,
# Toronto, depois o resto.
# Formato: nome,tipo,cidade,estado,site,status
Gatarn Games,,Mobile,Toronto,https://gatarn.io/,sem-pagina-de-carreira
GestureTek Health,,Health,Toronto,https://www.gesturetekhealth.com/,pagina-sem-ats
Globacore,,Developer,Toronto,https://www.globacore.com/,sem-pagina-de-carreira
Glu Toronto (Electronic Arts),,Mobile,Toronto,https://www.glu.com/,site-fora-do-ar
Gnometech,,Extended Reality (XR),Toronto,http://gnometech.com/,site-fora-do-ar
Godmode Interactive,,Developer,Toronto,https://www.godmodeinteractive.com/,sem-pagina-de-carreira
Golden Ventures,,Investment,Toronto,https://www.golden.ventures/,porta:consider
Hand Eye Society,,Organization,Toronto,https://www.handeyesociety.com/,pagina-sem-ats
Hilltop Studios,,Developer,Toronto,https://hilltop.so/,sem-pagina-de-carreira
HitGrab,,Developer,Toronto,https://www.hitgrab.com/,sem-pagina-de-carreira
Household Games,,Developer,Toronto,http://household-games.com/,site-fora-do-ar
IGDA Ontario - Toronto,,Organization,Toronto,https://igda.org/chapters/ontario-toronto/,sem-pagina-de-carreira
IRIS VR,,Extended Reality (XR),Toronto,https://www.irisvirtualreality.com/,sem-pagina-de-carreira
Impossible Studio,,Extended Reality (XR),Toronto,https://www.impossiblestudios.tv/,sem-pagina-de-carreira
Indigo Doyle,,Developer,Toronto,https://indigodoyle.com/,sem-pagina-de-carreira
Interactive Ontario (IO),,Organization,Toronto,https://www.interactiveontario.com/,sem-pagina-de-carreira
Jam City,,Mobile,Toronto,https://www.jamcity.com/,porta+disciplina:nenhum
Jamhammer Games,,Developer,Toronto,https://www.jamhammer.ca/,sem-pagina-de-carreira
Jim Guthrie,,Microstudio,Toronto,http://www.swordandsworcery.com/,site-fora-do-ar
Kitten Cup Studio,,Developer,Toronto,https://www.kittencupstudio.com/,pagina-sem-ats
Klub Kofta Studio,,Developer,Toronto,https://klubkofta.com/,sem-pagina-de-carreira
Komi Games,,Developer and Publisher,Toronto,https://www.komigames.com/,porta+disciplina:veto-residencia
L3O Interactive,,Developer,Toronto,https://www.l3o.com/,sem-pagina-de-carreira
LABS Works,,Microstudio,Toronto,http://www.mattkap.net/labs/check/,site-fora-do-ar
Laundry Bear Games,,Developer,Toronto,https://www.laundrybear.com/,sem-pagina-de-carreira
Leafy Games,,Online,Toronto,https://leafygames.itch.io/,sem-pagina-de-carreira
Lightning Rod Games,,Developer,Toronto,https://lightningrodgames.com/,pagina-sem-ats
Lithic Entertainment,,Developer,Toronto,https://www.lithicentertainment.com/,sem-pagina-de-carreira
Little Buffalo,,Microstudio,Toronto,https://littlebuffalostudios.com/,bloqueado:captcha
Little Guy Games,,Mobile,Toronto,https://www.littleguygames.com/,pagina-sem-ats
Lofty Sky Entertainment,,Developer,Toronto,https://loftysky.com/,sem-pagina-de-carreira
Longbow Games,,Developer,Toronto,https://www.longbowgames.com/,sem-pagina-de-carreira
Love Conquers All Games,,Developer,Toronto,https://www.loveconquersallgam.es/,sem-pagina-de-carreira
Lucky VR,,Extended Reality (XR),Toronto,https://www.getluckyvr.com/,porta+disciplina:nenhum
Lummox Labs,,Mobile,Toronto,https://www.lummoxlabs.com/,sem-pagina-de-carreira
M5 Games,,Mobile,Toronto,https://www.m5games.com/,pagina-sem-ats
Magic Leap,,Extended Reality (XR),Toronto,https://www.magicleap.com/,bloqueado:500
Magitech Corporation,,Developer,Toronto,http://www.magitechcorp.com/,site-fora-do-ar
Maple Powered Games,,Developer,Toronto,https://maplepoweredgames.com/,site-fora-do-ar
Massive Damage,,Mobile,Toronto,https://massivedamagestudios.com/,pagina-sem-ats
Mega Power Games,,Developer,Toronto,https://megapowergames.com/,sem-pagina-de-carreira
Metanet Software,,Developer,Toronto,https://www.metanetsoftware.com/,sem-pagina-de-carreira
Mighty Yell Studios,,Developer,Toronto,https://www.mightyyell.com/,pagina-sem-ats
Nihilocrat,,Developer,Toronto,https://nihilocrat.tumblr.com/,bloqueado:429
Numizmatic,,Developer,Toronto,https://www.numizmatic.com/,sem-pagina-de-carreira
insertdisc5,,Microstudio,Toronto,https://www.insertdisc5.com/,sem-pagina-de-carreira
GabaGoo Games,,Developer,Banff,https://gabagoogames.ca/,pagina-sem-ats
Maskwa Games,,Microstudio,Batoche,https://maskwainvestments.com/games/,sem-pagina-de-carreira
Cerebral Gardens,,Mobile,Bradford,https://www.cerebralgardens.com/,pendente
Monster Bath Games,,Microstudio,Bridgewater,https://monsterbathchris.itch.io/,sem-pagina-de-carreira
gopokyo,,Developer,Bridgwater,https://lookup.gopokyo.com/,sem-pagina-de-carreira
Bramvale Studios,,Developer,Burnaby,https://www.bramvale.com/,sem-pagina-de-carreira
Banyango Software,,Developer,Calgary,https://www.banyango.com/,sem-pagina-de-carreira
Calgary Game Developers Association,,Organization,Calgary,https://www.calgary.games/,sem-pagina-de-carreira
Copychaser Games,,Developer,Calgary,https://www.copychaser.com/,sem-pagina-de-carreira
Dead Unicorn,,Developer,Calgary,https://deadunicorngames.itch.io/,sem-pagina-de-carreira
