id,title,location,type,department,url
215613,Core Software Engineer,"Stockholm, Sweden",Temporary - with Benefits (EU & Malaysia),EA Studios - DICE Stockholm,https://jobs.ea.com/en_US/careers/JobDetail/Core-Software-Engineer/215613
215618,UI Software Engineer - Scalable Platform,"Stockholm, Sweden",Temporary - with Benefits (EU & Malaysia),EA Studios - DICE Stockholm,https://jobs.ea.com/en_US/careers/JobDetail/UI-Software-Engineer-Scalable-Platform/215618
215620,Développeur logiciel (moteur principal)/Software Developer (Core Engine) - Battlefield,"Montreal, Canada",Regular Employee,EA Studios - Motive Montreal,https://jobs.ea.com/en_US/careers/JobDetail/Software-Developer-Core-Engine-Battlefield/215620
215623,Artiste technique principal.e / Principal Technical Artist,"Montreal, Canada",Regular Employee,Other,https://jobs.ea.com/en_US/careers/JobDetail/Principal-Technical-Artist/215623
215630,"Senior Director, Creative – EA SPORTS FC","Vancouver, Canada",Regular Employee,Marketing,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Director-Creative/215630
215637,Development Manager - EA Sports FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Development-Manager/215637
215640,Machine Learning Engineer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Machine-Learning-Engineer-FC/215640
215646,Assistant Producer - EA SPORTS™ FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Assistant-Producer-EA-SPORTS-FC/215646
215655,Cinematic Designer - EA SPORTS™ FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Cinematic-Designer-EA-SPORTS-FC/215655
215656,Generalist Software Engineer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Generalist-Software-Engineer-FC/215656
215657,Character Artist - EA Sports FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Character-Artist-EA-Sports-FC/215657
215659,Concept Artist (Wardrobe/Accessories) - EA SPORTS FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Concept-Artist-Characters-EA-SPORTS-FC/215659
215660,Environment Artist - EA SPORTS FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Environment-Artist-EA-SPORTS-FC/215660
215662,Development Manager - EA Sports FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Development-Manager/215662
215663,Development Manager - EA Sports FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Development-Manager/215663
215664,Generalist Software Engineer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Games-Modes-Software-Engineer-FC/215664
215666,Character Artist - EA Sports FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Character-Artist-II-EA-Sports-FC/215666
215670,Concept Artist (Environment) - EA SPORTS FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Concept-Artist-Environment-EA-SPORTS-FC/215670
215675,Software Engineer II,"Kuala Lumpur, Malaysia",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Software-Engineer-II/215675
215680,Game Designer II,"Hyderabad, India",Regular Employee,EA Mobile - Slingshot Games (India),https://jobs.ea.com/en_US/careers/JobDetail/Game-Designer-II/215680
215693,Senior Accountant I,"Hyderabad, India",Regular Employee,Finance,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Accountant-I/215693
215696,Développeur.se sénior.e /Senior Full Stack Developer (Apex Legends),"Vancouver - Great Northern Way, Canada",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Full-Stack-Developer-AI-and-Tools-Apex-Legends/215696
215699,Gameplay Engineer (Apex Legends),"Vancouver - Great Northern Way, Canada",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/Gameplay-Engineer-Apex-Legends/215699
215700,Senior Viewmodel Animator (Apex Legends),"Los Angeles - Chatsworth, United States of America",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Viewmodel-Animator-Apex-Legends/215700
215702,"Server Engineer, Unannounced 3A Project","Shanghai, China",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Server-Engineer-Unannounced-3A-Project/215702
215705,"Client Engineer, Unannounced 3A Project","Shanghai, China",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Client-Engineer-Unannounced-3A-Project/215705
215708,Site Reliability Engineer III,"Vancouver, Canada",Regular Employee,CT - Infrastructure & Platform,https://jobs.ea.com/en_US/careers/JobDetail/Site-Reliability-Engineer-III/215708
215715,Content Designer - Madden,"Orlando, United States of America",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Associate-Game-Designer/215715
215727,Senior Detection Engineer,"Guildford, United Kingdom",Regular Employee,CT - Security,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Detection-Engineer/215727
215736,Line Producer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Line-Producer-EA-SPORTS-FC/215736
215737,Senior Technical Artist (Apex Legends),"Vancouver - Great Northern Way, Canada",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Technical-Artist-Apex-Legends/215737
215743,.NET Software Engineer - EA SPORTS™ FC,"Bucharest, Romania",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/NET-Software-Engineer-EA-SPORTS-FC/215743
215748,Senior Technical Artist – Tools and Pipelines – EA SPORTS F1,"Birmingham, United Kingdom",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Technical-Artist-Tools-and-Pipelines-EA-SPORTS-F1/215748
215782,Associate Cinematics Designer - EA Sports FC,"Bucharest, Romania",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Associate-Cinematics-Designer-EA-Sports-FC/215782
215784,Assistant Producer - EA SPORTS™ FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Assistant-Producer-EA-SPORTS-FC/215784
215786,Generalist Software Engineer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Generalist-Software-Engineer-FC/215786
215787,Gameplay Software Engineer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Gameplay-Software-Engineer-FC/215787
215788,Senior Character Artist - EA Sports FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Character-Artist/215788
