id,title,location,type,department,url
215788,Senior Character Artist - EA Sports FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Character-Artist/215788
215789,"Senior Program Manager, Playtesting Programs","Vancouver, Canada",Regular Employee,EA Studios - Quality Verification,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Program-Manager-Playtesting-Programs/215789
215794,Development Director - EA Sports FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Development-Director-EA-SPORTS-FC/215794
215795,Cinematics Designer @ EA Sports FC,"Bucharest, Romania",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Cinematics-Designer-EA-Sports-FC/215795
215796,Assistant Live Gameplay Producer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Assistant-Live-Gameplay-Producer-EA-SPORTS-FC/215796
215797,"Expert Analyst - Apex Legends, Enterprise Intelligence (EI)","Los Angeles - Chatsworth, United States of America",Regular Employee,CT - Data & Insights,https://jobs.ea.com/en_US/careers/JobDetail/Expert-Analyst-Apex-Legends-Enterprise-Intelligence/215797
215798,"Manager, Procurement - Game Engine & Technology","Vancouver, Canada",Regular Employee,"Bus Affairs, Bus Dev & Corp Dev",https://jobs.ea.com/en_US/careers/JobDetail/Manager-Procurement-Game-Engine-Technology/215798
215799,"Head of Operations, Global Affairs","Redwood City, United States of America",Regular Employee,Legal,https://jobs.ea.com/en_US/careers/JobDetail/Head-of-Operations-Global-Affairs/215799
215802,Experience Designer - EA SPORTS™ NHL,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Experience-Designer-EA-SPORTS-NHL/215802
215803,Senior Cybersecurity Analyst,"Bucharest, Romania",Regular Employee,CT - Security,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Cybersecurity-Analyst/215803
215808,Game Modes Software Engineer - EA SPORTS™ NHL,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Game-Modes-Software-Engineer-NHL/215808
215809,Experience Designer (UX) - EA SPORTS™ NHL,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Experience-Designer-UX-EA-SPORTS-NHL/215809
215810,Senior Gameplay Software Engineer - EA SPORTS™ NHL,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Gameplay-Software-Engineer-NHL/215810
215811,Technical Artist - EA SPORTS™ NHL,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Technical-Artist-EA-SPORTS-NHL/215811
215812,Systems Software Engineer - EA SPORTS™ NHL,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Systems-Software-Engineer-EA-SPORTS-NHL/215812
215813,Rendering Software Engineer - EA SPORTS™ NHL,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Rendering-Software-Engineer-EA-SPORTS-NHL/215813
215814,UI Software Engineer - EA SPORTS™ NHL,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/UI-Software-Engineer-EA-SPORTS-NHL/215814
215815,Lead Software Engineer - EA SPORTS™ NHL,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Lead-Software-Engineer-NHL/215815
215816,Presentation Software Engineer - EA SPORTS™ NHL (TFT),"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Presentation-Software-Engineer-NHL/215816
215817,Associate Producer - EA SPORTS™ NHL,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Associate-Producer-EA-SPORTS-NHL/215817
